SN	Question	Answer
1	ќѕ«ждѕ ё—¬д Ш—нг —« »е Не “»«д  Ё—” «ѕ «”  	“»«д —”«н Џ—»н
2	Не Ш”н ё—¬д Ш—нг —« »е “»«д —”«н Џ—»н Ё—” «ѕ «”  	 ќѕ«ждѕ
3	«д”«д Не Нн“н —« ѕ— Ёег гЏ«—Ё ё—¬д »«»ѕ »е Ш«— »ндѕ«“ѕ 	Џёб «д”«д
4	Џёб «д”«д »—«н Не Нн“н »«нѕ »еЭШ«— »ндѕ«“ѕ 	 ѕ— Ёег гЏ«—Ё ё—¬д »е Ш«—
5	Шѕ«г ѕ«” «д »е —нд ѕ«” «д «”  	 ѕ«” «д нж”Ё
6	ќѕ«ждѕ Не Нн“н —« »е Бн«г»— жЌн Ш—ѕ 	ё—¬д 
7	нж”Ё ѕ— ќж«» Ндѕ ” «—е ѕнѕ 	н«“ѕе ” «—е
8	нж”Ё ѕ— ќж«» Не ѕнѕ	 ” «—е
9	нж”Ё ѕ— Не Ќ«б н н«“ѕе ” «—е ѕнѕ Ше »« ќж—‘нѕ ж г«е ѕ— »—«»— нж”Ё ”ћѕе гнЭШддѕ 	 ѕ— ќж«»
10	нж”Ё ѕ— ќж«» н«“ѕе ” «—е ѕнѕ Ше »« ќж—‘нѕ ж г«е ѕ— »—«»— нж”Ё Не гнЭШддѕ	”ћѕе гнЭШддѕ
11	нЏёж» »е ЭБ”—‘ ѕ—»«—е ќж«» нж”Ё Не РЁ 	ѕ—»«—е ќж«»‘ Нн“н дРжнѕ
12	нж”Ё Не Нн“н —« »—«н »—«ѕ—«д  Џ—нЁ дШдѕ	 ќж«» ќжѕ —«
13	Не Ш”н ѕ‘гд Џбдн «д”«д «” 	 ‘нЎ«д
14	ѕ‘гдн ‘нЎ«д НРжде «”  	 ѕ‘гд Џбдн
15	Не Ш”н нж”Ё —« »—гнЭР“ндѕ 	 ќѕ«
16	Не Ш”н нж”Ё —« »—гнЭР“ндѕ	 ќѕ«
17	ќѕ«ждѕ »е нж”Ё Не Нн“н —« н«ѕ ѕ«ѕ	 Џ»н— ќж«» Бн‘ »ндн Ќж«ѕЋ ¬ндѕе
18	Не Ш”н ег  Џ»н— ќж«» ж Бн‘Э»ндн Ќж«ѕЋ ¬ндѕе —« н«ѕ нж”Ё ѕ«ѕ 	 ќѕ«ждѕ
19	ќѕ« ег  Џ»н— ќж«» ж Бн‘Э»ндн Ќж«ѕЋ ¬ндѕе —« »е Не Ш”н н«ѕ ѕ«ѕ  	 »е нж”Ё
20	ќѕ«ждѕ Не Нн“н —« »е нж”Ё ж ќ«дѕ«д нЏёж» ѕ«ѕ	дЏг ‘
21	ќѕ«ждѕ дЏг ‘ —« »еЭЎж— Ш«гб »е Не Ш”«дн ѕ«ѕ  	нж”Ё ж ќ«дѕ«д
22	Не Ш”н ѕ«д«н Ш«—ѕ—”  «” 	 ќѕ«
23	»—«н  ‘дР«д Ќёнё  ѕ— ѕ«” «д нж”Ё ж »—«ѕ—«д‘ Не Нн“н «”  	ѕ—”Эе«н Ё—«ж«дн
24	Не Ш”«дн ѕ— ѕ«” «д нж”Ё ж »—«ѕ—«д‘ ѕ—”Эе«н Ё—«ж«дн гнРн—дѕ.	»—«н  ‘дР«д Ќёнё  ѕ—”Эе«н Ё—«ж«дн
25	нж”Ё ж »—«ѕ—‘ »дн«гнд ѕ— Н‘г нЏёж» Џ“н“ — «“ Не Ш”«дн »жѕдѕ 	ѕ— Н‘г нЏёж» Џ“н“ — «“ »—«ѕ«д
26	Не Ш”«дн ѕ— Н‘г нЏёж» Џ“н“ — «“ »—«ѕ—«д »жѕ 	 нж”Ё ж »—«ѕ—‘ »дн«гнд
27	Не Ш”н РЁ  нж”Ё —« »Ш‘нѕ н« ѕ— ћ«нн ѕж—ѕ”  —е«н‘ Шднѕ 	»—«ѕ—«д
28	нШн «“ »—«ѕ—«д РЁ  нж”Ё —« ѕ— Шћ« —е«н‘ Шднѕ 	 ѕ— ћ«нн ѕж—ѕ” 
29	»—«ѕ—«д нж”Ё —« ѕ— Шћ« Р–«‘ д 	Н«е
30	»—«ѕ—«д Не Ш”н —« ѕ— Н«е —е« Ш—ѕдѕ	нж”Ё
31	»—«н  ‘дР«д Ќёнё  ѕ— ѕ«” «де«н ё—¬д Не Нн“н «”  	ѕ—”Эе«н Ё—«ж«дн
32	Ш«—ж«дн Не “г«дн нж”Ё —« Бнѕ« гнШддѕ 	 »е жё  »«б« Ш‘нѕд ¬»
33	 Не Ш”н »е жё  »«б« Ш‘нѕд ¬» нж”Ё —« Бнѕ« Шдѕ	 Ш«—ж«д
34	»—«ѕ—«д »е нЏёж» РЁ д Ше ќн—ќж«е Не Ш”н е” дѕ 	нж”Ё
35	нж”Ё »е ег—«е Не Ш”«дн —«ен ѕ‘ Э жЭ ѕгд »—«н »«“н ‘ѕ 	нж”Ё —« »« »—«ѕ—«д 
36	»—«ѕ—«д ёжб ѕ«ѕдѕ Ш«гб« г—«ё» Не Ш”н »«‘дѕ 	нж”Ё
37	Не Ш”«дн ёжб ѕ«ѕдѕ Ш«гб« г—«ё» нж”Ё »«‘нг	 »—«ѕ—«д
38	нЏёж» «“ Не Нн“н гнЭ —”нѕ 	Р—Р нж”Ё —« »ќж—ѕ
39	»—«ѕ—«д  ’гнг Р—Ё дѕ нж”Ё —« ѕ— Шћ« »Р–«—дѕ	 ѕ— Н«е
40	Не Ш”«дн  ’гнг Р—Ё дѕ нж”Ё —« ѕ— Н«е »Р–«—дѕ 	»—«ѕ—«д
41	Не Ш”«дн нж”Ё —« ѕ— Н«е Р–«‘ дѕ	»—«ѕ—«д
42	»—«ѕ—«д нж”Ё Не “г«дн Р—неЭШд«д Бн‘ нЏёж» ¬гѕдѕ 	 ”— ‘» Бн‘ нЏёж»
43	»—«ѕ—«д нж”Ё ”—ц ‘» »« Не Ќ«б н Бн‘ нЏёж» ¬гѕдѕ 	 Р—не Шд«д
